Date,Steam_Followers,Social_Mentions
2025-06-08,0,7
2025-06-09,0,5
2025-06-10,0,6
2025-06-11,0,7
2025-06-12,0,7
2025-06-13,0,5
2025-06-14,0,8
2025-06-15,0,12
2025-06-16,0,5
2025-06-17,0,5
2025-06-18,0,5
2025-06-19,0,9
2025-06-20,0,8
2025-06-21,0,5
2025-06-22,0,9
2025-06-23,0,15
2025-06-24,0,6
2025-06-25,0,8
2025-06-26,0,8
2025-06-27,0,9
2025-06-28,0,8
2025-06-29,0,9
2025-06-30,0,4
2025-07-01,0,8
2025-07-02,0,13
2025-07-03,0,19
2025-07-04,0,7
2025-07-05,0,5
2025-07-06,0,5
2025-07-07,0,8
2025-07-08,0,10
